Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
18100,0.997027, 0.008422, 0.013314, 0.844631,0.906099, 0.002000, 0.118978, 0.857641,0.993179,0.012228,0.026580,0.849285
18200,0.996580, 0.007864, 0.018452, 0.848560,0.887026, 0.002000, 0.062835, 0.837349,0.990376,0.012701,0.022111,0.848153
18300,0.994794, 0.008253, 0.015882, 0.851480,0.899441, 0.082012, 0.029072, 0.902473,0.989571,0.017546,0.017919,0.850855
18400,0.995684, 0.010311, 0.015561, 0.847539,0.934412, 0.041557, 0.181068, 0.759233,0.988289,0.019284,0.024179,0.840387
18500,0.995419, 0.017320, 0.016257, 0.836183,0.908651, 0.115153, 0.074172, 0.919445,0.992320,0.021165,0.022002,0.821676
18600,0.998000, 0.014109, 0.002000, 0.650070,0.913585, 0.042313, 0.027999, 0.765302,0.989890,0.018105,0.019616,0.817287
18700,0.998000, 0.040589, 0.020623, 0.793602,0.908892, 0.016154, 0.049625, 0.731329,0.990991,0.020851,0.024185,0.807830
18800,0.996470, 0.015647, 0.019049, 0.813249,0.923174, 0.081434, 0.119841, 0.880513,0.990067,0.018696,0.024593,0.809402
18900,0.995766, 0.016749, 0.015113, 0.817149,0.930730, 0.067940, 0.083829, 0.718717,0.992732,0.018971,0.025543,0.818535
19000,0.998000, 0.002000, 0.024696, 0.917437,0.898762, 0.114843, 0.033065, 0.753418,0.991890,0.022642,0.018076,0.825122
19100,0.998000, 0.002000, 0.002000, 0.865871,0.974934, 0.075458, 0.076067, 0.856248,0.991596,0.023172,0.021195,0.815133
19200,0.996435, 0.013553, 0.020397, 0.826345,0.919009, 0.043567, 0.009000, 0.778076,0.990835,0.017956,0.020763,0.828361
19300,0.996924, 0.014825, 0.018967, 0.841634,0.931045, 0.055403, 0.002000, 0.838545,0.992753,0.020746,0.021695,0.845873
19400,0.995505, 0.017572, 0.017191, 0.848021,0.992607, 0.047569, 0.073752, 0.834110,0.987645,0.021024,0.022006,0.845441
19500,0.996324, 0.013117, 0.017129, 0.863900,0.908705, 0.087761, 0.105421, 0.631233,0.987665,0.018167,0.019356,0.851718
