Generation, BPA-R, BPA-S, BPA-T, BPA-P, SD-R, SD-S, SD-T, SD-P, AA-R, AA-S, AA-T, AA-P, ABPA-R, ABPA-S, ABPA-T, ABPA-P, Total Score
199001,0.139869, 0.192438, 0.002000, 0.002000,0.066132,0.065661,0.044942,0.024443,0.081306,0.073393,0.075783,0.015477,0.108949,0.085028,0.025196,0.002000,28438566
199501,0.229403, 0.038834, 0.054308, 0.002000,0.098666,0.057233,0.068194,0.018654,0.190748,0.065728,0.067602,0.010381,0.104279,0.073831,0.130825,0.002000,28551152
200001,0.004359, 0.002000, 0.054177, 0.002000,0.085557,0.076702,0.050735,0.008147,0.094191,0.073192,0.085336,0.004919,0.073903,0.015936,0.065336,0.011842,28413546
200501,0.030334, 0.104817, 0.102764, 0.002000,0.079146,0.107912,0.067223,0.022622,0.086282,0.105810,0.079941,0.011474,0.041952,0.056927,0.111117,0.002000,28474843
201001,0.082360, 0.002000, 0.111267, 0.002000,0.057081,0.072612,0.071320,0.028915,0.071378,0.109067,0.068071,0.015348,0.101788,0.081887,0.038422,0.002876,28450203
201501,0.002000, 0.002000, 0.002000, 0.002000,0.075106,0.070922,0.052201,0.025448,0.066245,0.108152,0.065863,0.017985,0.017686,0.128565,0.011527,0.002000,28500736
202001,0.282635, 0.002000, 0.110401, 0.006285,0.093529,0.056919,0.076519,0.010764,0.155418,0.064154,0.084929,0.006803,0.158614,0.024543,0.140407,0.003428,28501024
202501,0.241921, 0.002000, 0.403062, 0.002000,0.092632,0.069659,0.089999,0.023205,0.090822,0.064372,0.114977,0.014671,0.081974,0.054944,0.204375,0.006344,28384176
203001,0.015396, 0.119533, 0.048414, 0.002000,0.067481,0.061520,0.057782,0.018882,0.092382,0.064080,0.050261,0.008902,0.008168,0.069100,0.079728,0.002000,28435100
203501,0.063085, 0.002000, 0.002000, 0.007701,0.076908,0.080952,0.073374,0.027106,0.151136,0.075252,0.073345,0.018183,0.156727,0.002000,0.132530,0.011345,28418833
204001,0.285638, 0.053097, 0.002000, 0.002000,0.084182,0.062326,0.066050,0.030580,0.112691,0.070008,0.073494,0.019332,0.115681,0.074189,0.043120,0.014800,28376798
204501,0.138828, 0.082944, 0.108421, 0.038271,0.065172,0.073163,0.065794,0.030942,0.087369,0.150405,0.074765,0.014419,0.104232,0.147580,0.037474,0.037822,28421717
205001,0.033952, 0.002000, 0.002000, 0.002000,0.084023,0.074181,0.079747,0.017420,0.090047,0.084839,0.079600,0.008109,0.040169,0.044582,0.092848,0.006016,28471245
205501,0.002000, 0.002000, 0.070381, 0.077186,0.079568,0.071604,0.071962,0.028748,0.116145,0.057793,0.057666,0.018640,0.036262,0.023377,0.063784,0.044924,28358498
