Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
14300,0.304806, 0.257104, 0.012719, 0.011594,0.889350, 0.947218, 0.667323, 0.366412,0.378930,0.290830,0.159928,0.148491
14400,0.434020, 0.013636, 0.016675, 0.002513,0.640048, 0.989356, 0.603351, 0.485986,0.382983,0.289851,0.189453,0.170031
14500,0.294072, 0.154881, 0.005008, 0.009448,0.303754, 0.766486, 0.966580, 0.826151,0.366030,0.271178,0.183561,0.130192
14600,0.014588, 0.132443, 0.008239, 0.004025,0.585621, 0.854037, 0.990738, 0.663979,0.375219,0.264118,0.158388,0.166054
14700,0.487157, 0.151462, 0.012182, 0.002854,0.957894, 0.986107, 0.542516, 0.294796,0.364432,0.268568,0.154427,0.174920
14800,0.555413, 0.344898, 0.008900, 0.001372,0.949579, 0.947171, 0.465935, 0.424522,0.389264,0.293239,0.161034,0.155860
14900,0.700191, 0.275598, 0.002628, 0.002516,0.890363, 0.977517, 0.723265, 0.707633,0.407539,0.274842,0.144836,0.162210
15000,0.405154, 0.052030, 0.012976, 0.003932,0.645027, 0.990563, 0.970936, 0.997418,0.393361,0.265823,0.172356,0.195379
15100,0.014588, 0.132443, 0.008239, 0.004025,0.926347, 0.912190, 0.820706, 0.872993,0.381615,0.256619,0.180759,0.156638
15200,0.543524, 0.154560, 0.018168, 0.006041,0.990076, 0.994635, 0.090320, 0.492407,0.377301,0.269416,0.161483,0.164039
15300,0.389870, 0.369671, 0.015455, 0.001766,0.006668, 0.912225, 0.365134, 0.889944,0.345362,0.273198,0.157010,0.181249
15400,0.188224, 0.088466, 0.012930, 0.006452,0.341772, 0.998766, 0.998551, 0.727447,0.375853,0.257438,0.169918,0.140846
15500,0.125869, 0.090795, 0.005341, 0.003165,0.504236, 0.970536, 0.176094, 0.757147,0.374941,0.267178,0.160795,0.147306
15600,0.601442, 0.267317, 0.004866, 0.001517,0.130596, 0.939016, 0.467503, 0.575051,0.356114,0.284590,0.172222,0.170588
15700,0.434020, 0.013636, 0.016675, 0.002513,0.837565, 0.894639, 0.108814, 0.543715,0.382759,0.273265,0.153389,0.156212
15800,0.009959, 0.394340, 0.005687, 0.004682,0.858825, 0.965325, 0.585305, 0.786989,0.389613,0.267257,0.125346,0.166839
15900,0.028219, 0.022328, 0.025115, 0.002152,0.347535, 0.981751, 0.591015, 0.984804,0.391609,0.255097,0.168743,0.159955
16000,0.405154, 0.052030, 0.012976, 0.003932,0.692198, 0.945414, 0.990851, 0.514925,0.392169,0.292086,0.154042,0.163086
16100,0.125869, 0.090795, 0.005341, 0.003165,0.347324, 0.964917, 0.596418, 0.570983,0.383417,0.292975,0.155409,0.141517
16200,0.125869, 0.090795, 0.005341, 0.003165,0.689393, 0.999715, 0.708488, 0.291091,0.340232,0.285283,0.175941,0.126541
16300,0.601442, 0.267317, 0.004866, 0.001517,0.576515, 0.882078, 0.802656, 0.659998,0.379113,0.270559,0.179542,0.138695
16400,0.487157, 0.151462, 0.012182, 0.002854,0.914025, 0.989740, 0.844800, 0.704743,0.363850,0.304714,0.172619,0.156060
16500,0.397687, 0.477899, 0.004959, 0.001286,0.183737, 0.923658, 0.404677, 0.897170,0.353017,0.296101,0.165829,0.147378
16600,0.693539, 0.080569, 0.002778, 0.011121,0.630918, 0.966745, 0.684213, 0.793127,0.363345,0.262450,0.176142,0.156273
16700,0.125869, 0.090795, 0.005341, 0.003165,0.790117, 0.785421, 0.777271, 0.834825,0.348006,0.286556,0.172300,0.180405
16800,0.434020, 0.013636, 0.016675, 0.002513,0.729488, 0.927300, 0.883485, 0.985885,0.345158,0.281290,0.171718,0.161642
16900,0.434020, 0.013636, 0.016675, 0.002513,0.898182, 0.963694, 0.900331, 0.854184,0.381189,0.276063,0.142328,0.183321
